#output name: AD4.1 Aortic Flow; unit: L/min; start buffer datetime: 2020-12-01 12:12:11.208095
timestamp,vb.va
12:12:24.82,-0.27868311691573666
12:12:24.825,-0.16464780309653548
12:12:24.83,-0.03119632830227559
12:12:24.835,0.10971016253964194
12:12:24.84,0.22662111902909032
12:12:24.845,0.35769373992005526
12:12:24.85,0.5074023086584916
12:12:24.855,0.6488055882673649
12:12:24.86,0.7326386926905677
12:12:24.865,0.7743753182013187
12:12:24.87,0.7795597548205393
12:12:24.875,0.6587063336292545
12:12:24.88,0.45593690312825785
12:12:24.885,0.22708287781888714
12:12:24.89,0.044226397059894396
12:12:24.895,-0.12397163053062243
12:12:24.9,-0.24113416594692438
12:12:24.905,-0.26313936068821064
12:12:24.91,-0.1998561146825928
12:12:24.915,-0.1175834365145576
12:12:24.92,0.0022732225994452904
12:12:24.925,0.19421839015896225
12:12:24.93,0.4589558502505042
